cofradia_pescadores_id,cofradia_pescadores_nombre,cif,patron_mayor,direccion_isla_id,direccion_isla_nombre,direccion_municipio_id,direccion_municipio_nombre,direccion_nombre_via,direccion_numero,direccion_complemento,direccion_codigo_postal,telefono_1,telefono_2,email,pagina_web,ambito_territorial_id,ambito_territorial_nombre,puntos_desembarque,travelift,diesel,grua,pescaderia,latitud,longitud
1,San Andrés,G 38021861,Jose Luis Deniz Pérez,ES709,Tenerife,38038,Santa Cruz de Tenerife,Zona Varadero,Sin número,Playa Las Teresitas. San Andrés,38120,(34)922549436,_U,oficina.cofradia@gmail.com,_U,1,Punta de Anaga - Punta de Boca Cangrejo,"Roque Bermejo, San Andrés y Puerto de Santa Cruz de Tenerife.",NO,SI,SI,NO,28.50498561,-16.18941343
2,Nuestra Señora de Candelaria,G 38029922,Victor Juan Díaz Castro,ES709,Tenerife,38011,Candelaria,Calle La Piscina,Sin número,_Z,38530,(34)922506601,_U,yolanda.cofradia@hotmail.com,_U,2,Punta de Boca Cangrejo - Barranco de Erques,Puerto de Candelaria y Puertito de Güimar.,NO,SI,SI,NO,28.35790718,-16.36841095
3,San Miguel de Tajao,G 38029195,Comisión gestora,ES709,Tenerife,38005,Arico,Avenida Cabildo Insular,11,Tajao,38588,(34)922706287,_U,cofradiatajaoarico@gmail.com,_U,3,Barranco de Erques - Barranco del Río,"El Roque, Las Eras, Poris de Abona, Abades, La Listada, La Jaca, Puerto deTajao y Barranco del Río.",SI,NO,NO,NO,28.10975002,-16.47024626
4,Nuestra Señora de Las Mercedes,G 38021879,Telesforo Manuel Díaz Marcelino,ES709,Tenerife,38006,Arona,Muelle Pesquero,Sin número,Los Cristianos,38650,(34)922790014,_U,cploscristianos@gmail.com,_U,4,Barranco del Río - Adeje,"El Médano, Los Abrigos, Las Galletas, Los Cristianos, Adeje y La Caleta.",SI,NO,SI,NO,28.04915442,-16.71930658
5,Nuestra Señora de La Luz,G 38021887,Gilberto Sánchez Hernández,ES709,Tenerife,38019,Guía de Isora,Avenida Juan Carlos I,Sin número,Muelle pesquero. Playa San Juan,38687,(34)922104979,_U,cpdelaluz@gmail.com,_U,5,Adeje - Barranco de Masca,"Playa San Juan, Alcalá y Puerto Santiago.",SI,SI,SI,NO,28.1800489,-16.81571691
6,San Roque e Isla Baja,G 38032363,Carlos Díaz Medina,ES709,Tenerife,38015,Garachico,Calle Mulle deportivo y pesquero de Garachico,Sin número,_Z,38450,(34)922830416,_U,c.p.sanroqueeislabaja@gmail.com,_U,6,Barranco de Masca - Barranco de El Guincho,"La Ballenita, Playa de Los Barqueros y Puerto de Garachico.",NO,NO,SI,NO,28.37330977,-16.75583458
7,San Marcos,G 38040325,Francisco Rodríguez Trujillo,ES709,Tenerife,38022,Icod de los Vinos,Paseo de Las Americas,Sin número,Explanada del muelle. San Marcos,38430,(34)922814252,_U,cofradiadepescadoressanmarcos@hotmail.es,_U,7,Barranco de El Guincho - Playa de Santo Domingo,Puerto de San Marcos y Playa Santo Domingo.,NO,NO,SI,SI,28.37916879,-16.72460984
8,Gran Poder de Dios,G 38020418,Carlos Salvador Carrillo González,ES709,Tenerife,38028,Puerto de la Cruz,Calle Las Lonjas,5,_Z,38400,(34)922389197,_U,cofradia.pdios@gmail.com,www.granpoderdedios.es ,8,Playa de Santo Domingo - Punta de El Sauzal,Puerto de La Cruz,NO,NO,SI,NO,28.41811723,-16.5497181
9,Nuestra Señora del Carmen,G 38283354,David Herrera Rodríguez,ES709,Tenerife,38043,Tacoronte,Avenida principal del Pris,2,_Z,38350,(34)922563187,_U,cpelpris@gmail.com,_U,9,Punta de El Sauzal - Punta de La Romba,El Pris,NO,NO,SI,NO,28.50887398,-16.42200967
10,Nuestra Señora de La Consolación,G 38020426,David Lorenzo Rufino,ES709,Tenerife,38023,San Cristóbal de La Laguna,Camino el Puertito,46,Punta del Hidalgo,38240,(34)922157929,_U,cpconsolacion@gmail.com,_U,10,Punta de La Romba - Punta de Anaga,"La Barranquera, Jover, Punta del Hidalgo y Taganana.",NO,SI,SI,NO,28.56436006,-16.33183764
11,Nuestra Señora del Carmen,G 38034245,Pedro Cabellos Ramos,ES706,La Gomera,38049,Valle Gran Rey,Explanada del Puerto de Las Vueltas,Sin número,_Z,38870,(34)922805681,_U,vallegranrey@hotmail.com,_U,11,Punta de Narices - Punta Agulo,Puerto de Vueltas,NO,SI,SI,NO,28.08169357,-17.33298586
